model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
pinn,0.1,23.0,0.05,10,24,0.2907393504683678,0.5053636351893823,0.49891102201716947
pinn,1.0,23.0,0.05,10,24,1.096365580775432,1.765070929569119,2.780743975460742
pinn,10.0,23.0,0.05,10,24,3.0100032887943127,4.139731205605508,4.063965586102583
pinn,100.0,23.0,0.05,10,24,7.782913273907023,5.8326745848389825,7.111003533916145
pinn,1000.0,23.0,0.05,10,24,18.89905353889615,17.19501045244049,18.777326128100224
magi,,23.0,0.05,10,25,0.34330132230035065,0.867261018419577,2.6195555077441397
pinn,0.1,23.0,0.05,10,25,0.344026855551562,0.731360930530626,0.7170246079259733
pinn,1.0,23.0,0.05,10,25,1.6379688500362923,1.867091568884499,2.3860488634781754
pinn,10.0,23.0,0.05,10,25,3.4189790160921834,3.2011748786623566,2.9624209100242904
pinn,100.0,23.0,0.05,10,25,11.049052412097572,9.780179926966996,7.535256150456826
pinn,1000.0,23.0,0.05,10,25,18.724332860554266,23.013109416055194,17.463967034488654
magi,,23.0,0.05,10,26,0.5852075785285548,1.995779577409114,2.7049281507581275
pinn,0.1,23.0,0.05,10,26,0.579361614205794,0.7947514638146919,0.652865715709813
pinn,1.0,23.0,0.05,10,26,1.0448952920757157,1.3354295062862689,3.150587868277254
pinn,10.0,23.0,0.05,10,26,5.6308700587732305,5.515309720118308,5.917612905391714
pinn,100.0,23.0,0.05,10,26,6.642363483450274,7.293772588410768,8.076827168645831
pinn,1000.0,23.0,0.05,10,26,17.28791920390953,18.807034855637536,17.675951397453183
magi,,23.0,0.05,10,27,0.4812343700251503,1.8378093147298165,2.061615830403529
pinn,0.1,23.0,0.05,10,27,0.18916300303220074,0.42522935107208865,0.5356879992514498
pinn,1.0,23.0,0.05,10,27,1.0445676050068033,6.697622543614531,1.1497056626929283
pinn,10.0,23.0,0.05,10,27,2.75177690109855,4.0457877117902585,2.7305430380611235
