model,lmbda,rho,alpha,dobs,seed,betahat,betahat_LB,betahat_UB,betahat_err,rhohat,rhohat_LB,rhohat_UB,rhohat_err,sigmahat,sigmahat_LB,sigmahat_UB,sigmahat_err,X_rmse,Y_rmse,Z_rmse
magi,,23.0,0.05,10,53,2.640583738877764,2.549938824153183,2.7317457325830805,-0.02608292778890231,22.6210197836431,22.294893224198084,22.934471181516553,-0.3789802163569007,8.940633236375277,8.197274594499563,9.724365319576355,-1.0593667636247233,0.37475621560073213,0.4997196497883067,0.6191739629920857
magi,,23.0,0.05,10,54,2.6492399731933927,2.550152423518532,2.748416638225357,-0.017426693473273858,22.935935713376004,22.598470392001623,23.264435805930574,-0.06406428662399577,7.899688251797195,7.221039589555059,8.60744169381908,-2.100311748202805,0.6144255710943791,0.6829875906853068,0.6943663870928855
magi,,23.0,0.05,10,55,2.6649121957958464,2.566998338475437,2.76783428841891,-0.0017544708708201462,22.99547082093519,22.627541183383563,23.34202231489452,-0.004529179064810762,8.86663008447821,8.18489046966961,9.620892000583035,-1.13336991552179,0.37605730696377865,0.47620216722835534,0.6191050612522113
magi,,23.0,0.05,10,56,2.6095114305401035,2.5146265394546163,2.7062233922145,-0.057155236126563036,22.85028198180987,22.502244078792128,23.193317410574554,-0.14971801819012853,9.15938353087847,8.392166404244387,10.012460709350758,-0.8406164691215299,0.3624327110234206,0.37876427081090563,0.4779900133285085
magi,,23.0,0.05,10,57,2.686993595790519,2.5856380980777267,2.7858948380569695,0.020326929123852366,22.998710062906856,22.648571246310144,23.364960886939084,-0.0012899370931442888,9.335988959607887,8.444186305920267,10.344925637322042,-0.6640110403921131,0.2609821778189822,0.3784252586151894,0.4840627000760202
magi,,23.0,0.05,10,58,2.6671780335066146,2.5765216166965725,2.7585823783483616,0.0005113668399481242,22.633888710239034,22.32356349431062,22.93940878442346,-0.3661112897609655,8.11232223717212,7.43902089342079,8.827957972549672,-1.8876777628278791,0.5027335320863909,0.5974799158842139,0.6268681241472028
magi,,23.0,0.05,10,59,2.6648434161450956,2.5565159236546795,2.7699186293423437,-0.0018232505215709516,23.19144880441813,22.791748005597984,23.584647133260614,0.19144880441812973,8.283611800609812,7.584140084235543,9.065115021749902,-1.7163881993901882,0.46382923902352546,0.6482810813827254,0.6356557461331935
magi,,23.0,0.05,10,6,2.654285899581025,2.5615840417017943,2.7512081027791604,-0.012380767085641509,22.786489676660604,22.465015420685095,23.115918269717817,-0.21351032333939557,8.424713676870255,7.761670202087071,9.121414440942102,-1.5752863231297454,0.4269385119513828,0.561574932005682,0.5561278025173884
magi,,23.0,0.05,10,60,2.6096281179070555,2.498704414581244,2.7182407051100093,-0.05703854875961101,23.091937990450912,22.714999470717633,23.465769995895524,0.09193799045091211,9.91857611775862,9.024525808616273,10.862671645034322,-0.08142388224137953,0.27929604089967697,0.3891697068035521,0.5391030986888334
magi,,23.0,0.05,10,61,2.5920162333408627,2.4998922036288453,2.693045407582174,-0.07465043332580379,22.677321257497915,22.34329976400397,23.012101283979984,-0.3226787425020845,9.415528636258681,8.506499299604775,10.411223606825294,-0.5844713637413186,0.3659144937316473,0.47662799544288975,0.6359647179751546
